Match-Name,Name,score
"New York, NY","New York, NY",100
"Shenandoah, VA","Shenandoah, VA",100
"Hallowell, ME","Hallowell, ME",100
"Eureka, KS","Eureka, KS",100
"Kensington, MD","Kensington, MD",100
"Highspire, PA","Highspire, PA",100
"Inman, SC","Inman, SC",100
"Cowpens, SC","Cowpens, SC",100
"Daingerfield, TX","Daingerfield, TX",100
"Decherd, TN","Decherd, TN",100
"Reed, MI","Reed, MI",100
"Madison, NE","Madison, NE",100
"East Dublin, GA","East Dublin, GA",100
"Taylor, AL","Taylor, AL",100
"Shepherd, TX","Shepherd, TX",100
"Prague, OK","Prague, OK",100
"Enon, OH","Enon, OH",100
"Lake Placid, NY","Lake Placid, NY",100
"Seneca, MO","Seneca, MO",100
"Dalworthington Gardens, TX","Dalworthington Gardens, TX",100
"Lapel, IN","Lapel, IN",100
"Maynardville, TN","Maynardville, TN",100
"Hinton, WV","Hinton, WV",100
"Neillsville, WI","Neillsville, WI",100
"Kinder, LA","Kinder, LA",100
"Panorama, TX","Panorama, TX",100
"Curwensville, PA","Curwensville, PA",100
"Commerce, OK","Commerce, OK",100
"Dalton Gardens, ID","Dalton Gardens, ID",100
"Eddystone, PA","Eddystone, PA",100
"Breezy Point, MN","Breezy Point, MN",100
"Ponder, TX","Ponder, TX",100
"Greentown, IN","Greentown, IN",100
"Winfield, WV","Winfield, WV",100
"Salado, TX","Salado, TX",100
"Monroe, UT","Monroe, UT",100
"Bethlehem, WV","Bethlehem, WV",100
"Crosby, MN","Crosby, MN",100
"Henagar, AL","Henagar, AL",100
"Apalachicola, FL","Apalachicola, FL",100
"East Bernard, TX","East Bernard, TX",100
"Hardinsburg, KY","Hardinsburg, KY",100
"Gold Bar, WA","Gold Bar, WA",100
"Excelsior, MN","Excelsior, MN",100
"La Salle, CO","La Salle, CO",100
"White Pine, TN","White Pine, TN",100
"East Jordan, MI","East Jordan, MI",100
"Purvis, MS","Purvis, MS",100
"Sumiton, AL","Sumiton, AL",100
"Timmonsville, SC","Timmonsville, SC",100
"Johnston, SC","Johnston, SC",100
"Carleton, MI","Carleton, MI",100
"Anahuac, TX","Anahuac, TX",100
"Montague, MI","Montague, MI",100
"Lagrange, OH","Lagrange, OH",100
"Moline Acres, MO","Moline Acres, MO",100
"Byesville, OH","Byesville, OH",100
"Matamoras, PA","Matamoras, PA",100
"Goldsby, OK","Goldsby, OK",100
"Brewster, WA","Brewster, WA",100
"Red Hill, PA","Red Hill, PA",100
"Maxton, NC","Maxton, NC",100
"Emsworth, PA","Emsworth, PA",100
"Santa Claus, IN","Santa Claus, IN",100
"Swanton, VT","Swanton, VT",100
"Pinckney, MI","Pinckney, MI",100
"Freeport, FL","Freeport, FL",100
"Bells, TN","Bells, TN",100
"Charleston, AR","Charleston, AR",100
"Strafford, MO","Strafford, MO",100
"Skaneateles, NY","Skaneateles, NY",100
"Pleasant Ridge, MI","Pleasant Ridge, MI",100
"Coats, NC","Coats, NC",100
"Weatherly, PA","Weatherly, PA",100
"Ross, CA","Ross, CA",100
"Hudson, IA","Hudson, IA",100
"Liberty, PA","Liberty, PA",100
"El Portal, FL","El Portal, FL",100
"Pacolet, SC","Pacolet, SC",100
"Orchard Lake, MI","Orchard Lake, MI",100
"Corinth, NY","Corinth, NY",100
"Marengo, IA","Marengo, IA",100
"Friday Harbor, WA","Friday Harbor, WA",100
"Rancho Viejo, TX","Rancho Viejo, TX",100
"Wabasha, MN","Wabasha, MN",100
"New Palestine, IN","New Palestine, IN",100
"Mineral Point, WI","Mineral Point, WI",100
"Chesterfield, IN","Chesterfield, IN",100
"Country Club, MO","Country Club, MO",100
"Silver Creek, NY","Silver Creek, NY",100
"Osceola, IN","Osceola, IN",100
"Le Center, MN","Le Center, MN",100
"Beverly, NJ","Beverly, NJ",100
"Telluride, CO","Telluride, CO",100
"Phillipsburg, KS","Phillipsburg, KS",100
"Lake View, AL","Lake View, AL",100
"Avilla, IN","Avilla, IN",100
"Seville, OH","Seville, OH",100
"Attica, NY","Attica, NY",100
"Chester, WV","Chester, WV",100
"Elm Springs, AR","Elm Springs, AR",100
"Bono, AR","Bono, AR",100
"Surf, NC","Surf, NC",100
"Portage, PA","Portage, PA",100
"Junction, TX","Junction, TX",100
"Mountain, TN","Mountain, TN",100
"Thornton, IL","Thornton, IL",100
"Ranger, TX","Ranger, TX",100
"Westmoreland, TN","Westmoreland, TN",100
"Spring Valley, MN","Spring Valley, MN",100
"Lavaca, AR","Lavaca, AR",100
"Richwood, OH","Richwood, OH",100
"Wayne, IL","Wayne, IL",100
"Virginia Gardens, FL","Virginia Gardens, FL",100
"West Branch, IA","West Branch, IA",100
"Muncy, PA","Muncy, PA",100
"Bellevue, ID","Bellevue, ID",100
"Liberty Hill, TX","Liberty Hill, TX",100
"Poland, OH","Poland, OH",100
"Granville, NY","Granville, NY",100
"Cave, KY","Cave, KY",100
"Lake Placid, FL","Lake Placid, FL",100
"Belle Plaine, IA","Belle Plaine, IA",100
"Frankfort, NY","Frankfort, NY",100
"Mayflower, AR","Mayflower, AR",100
"Olmos Park, TX","Olmos Park, TX",100
"Belleville, WI","Belleville, WI",100
"Belgium, WI","Belgium, WI",100
"Mosheim, TN","Mosheim, TN",100
"Winneconne, WI","Winneconne, WI",100
"Rogue River, OR","Rogue River, OR",100
"Dyer, TN","Dyer, TN",100
"Waldport, OR","Waldport, OR",100
"Hudson, MI","Hudson, MI",100
"Kinsey, AL","Kinsey, AL",100
"Wenonah, NJ","Wenonah, NJ",100
"Greenport, NY","Greenport, NY",100
"Holden, MO","Holden, MO",100
"Dry Ridge, KY","Dry Ridge, KY",100
"Gibbsboro, NJ","Gibbsboro, NJ",100
"Hennessey, OK","Hennessey, OK",100
"Bridgman, MI","Bridgman, MI",100
"Ferdinand, IN","Ferdinand, IN",100
"South Fulton, TN","South Fulton, TN",100
"Carnation, WA","Carnation, WA",100
